seed,method,f1,precision,recall,specificity,ba,mcc,auc,prauc,tp,fp,fn,tn
71001,f125,0.7522935779816514,0.7321428571428571,0.7735849056603774,0.8584905660377359,0.8160377358490567,0.6238025977812317,0.8809184763260947,0.8092314505879471,41,15,12,91
71001,auc100,0.7339449541284404,0.7142857142857143,0.7547169811320755,0.8490566037735849,0.8018867924528302,0.595871138179087,0.873620505517978,0.8112171398751341,40,16,13,90
71001,mi125,0.7027027027027027,0.6724137931034483,0.7358490566037735,0.8207547169811321,0.7783018867924528,0.5450826142276228,0.8714845140619437,0.7870824499816766,39,19,14,87
71001,avg3,0.7358490566037735,0.7358490566037735,0.7358490566037735,0.8679245283018868,0.8018867924528301,0.6037735849056604,0.8832324670701318,0.8121179159119177,39,14,14,92
71002,f125,0.7433628318584071,0.7,0.7924528301886793,0.8301886792452831,0.8113207547169812,0.6055300708194983,0.8988964044143822,0.8139901287590448,42,18,11,88
71002,auc100,0.75,0.711864406779661,0.7924528301886793,0.839622641509434,0.8160377358490567,0.6167849939918766,0.8848344606621574,0.7970038076748005,42,17,11,89
71002,mi125,0.7627118644067796,0.6923076923076923,0.8490566037735849,0.8113207547169812,0.8301886792452831,0.6332313927204475,0.9115343538625846,0.8495620810914888,45,20,8,86
71002,avg3,0.7964601769911505,0.75,0.8490566037735849,0.8584905660377359,0.8537735849056605,0.6881023532039754,0.905126379494482,0.8273328788209423,45,15,8,91
71003,f125,0.7706422018348624,0.75,0.7924528301886793,0.8679245283018868,0.8301886792452831,0.6517340573833763,0.9104663581345674,0.8446615126668002,42,14,11,92
71003,auc100,0.7567567567567568,0.7241379310344828,0.7924528301886793,0.8490566037735849,0.8207547169811321,0.6282308096182772,0.901566393734425,0.8332425365079333,42,16,11,90
71003,mi125,0.8,0.7719298245614035,0.8301886792452831,0.8773584905660378,0.8537735849056605,0.6955186050933216,0.914738341046636,0.8329222285849271,44,13,9,93
71003,avg3,0.7706422018348624,0.75,0.7924528301886793,0.8679245283018868,0.8301886792452831,0.6517340573833763,0.913314346742613,0.8447993482356765,42,14,11,92
71004,f125,0.7678571428571429,0.7288135593220338,0.8113207547169812,0.8490566037735849,0.8301886792452831,0.6444022325288263,0.8844784620861517,0.8061189614608654,43,16,10,90
71004,auc100,0.7610619469026548,0.7166666666666667,0.8113207547169812,0.839622641509434,0.8254716981132075,0.6330541649476573,0.8834104663581346,0.8066438352038815,43,17,10,89
71004,mi125,0.7663551401869159,0.7592592592592593,0.7735849056603774,0.8773584905660378,0.8254716981132075,0.6479515952918626,0.8976504093983624,0.8208874397891197,41,13,12,93
71004,avg3,0.7636363636363637,0.7368421052631579,0.7924528301886793,0.8584905660377359,0.8254716981132075,0.6398771166858559,0.8923104307582769,0.8171326796551678,42,15,11,91
71005,f125,0.8108108108108109,0.7758620689655172,0.8490566037735849,0.8773584905660378,0.8632075471698113,0.7113790050089315,0.9069063723745104,0.8242247933645469,45,13,8,93
71005,auc100,0.7678571428571429,0.7288135593220338,0.8113207547169812,0.8490566037735849,0.8301886792452831,0.6444022325288263,0.8971164115343538,0.8177142270355093,43,16,10,90
71005,mi125,0.7339449541284404,0.7142857142857143,0.7547169811320755,0.8490566037735849,0.8018867924528302,0.595871138179087,0.8980064079743681,0.8171883109506559,40,16,13,90
71005,avg3,0.7652173913043478,0.7096774193548387,0.8301886792452831,0.8301886792452831,0.8301886792452831,0.6382654412769296,0.9093983624065504,0.8288331401852952,44,18,9,88
71006,f125,0.7394957983193278,0.6666666666666666,0.8301886792452831,0.7924528301886793,0.8113207547169812,0.5956833971812706,0.8999644001423993,0.8199209490250713,44,22,9,84
71006,auc100,0.7543859649122807,0.7049180327868853,0.8113207547169812,0.8301886792452831,0.8207547169811321,0.6218934168169232,0.8921324314702742,0.8246766980968394,43,18,10,88
71006,mi125,0.7966101694915254,0.7230769230769231,0.8867924528301887,0.8301886792452831,0.8584905660377359,0.687508369239343,0.8940904236383055,0.8268344444327098,47,18,6,88
71006,avg3,0.7692307692307693,0.703125,0.8490566037735849,0.8207547169811321,0.8349056603773586,0.6438601719726353,0.9037023851904592,0.8353229681508606,45,19,8,87
71007,f125,0.7927927927927928,0.7586206896551724,0.8301886792452831,0.8679245283018868,0.8490566037735849,0.6836629398787134,0.9079743681025276,0.854457881157852,44,14,9,92
71007,auc100,0.8380952380952381,0.8461538461538461,0.8301886792452831,0.9245283018867924,0.8773584905660378,0.7583704957147718,0.9081523673905304,0.854376155850928,44,8,9,98
71007,mi125,0.7706422018348624,0.75,0.7924528301886793,0.8679245283018868,0.8301886792452831,0.6517340573833763,0.8960484158063368,0.8275768568633984,42,14,11,92
71007,avg3,0.819047619047619,0.8269230769230769,0.8113207547169812,0.9150943396226416,0.8632075471698113,0.7299316021254678,0.914560341758633,0.8561186508605012,43,9,10,97
71008,f125,0.7567567567567568,0.7241379310344828,0.7924528301886793,0.8490566037735849,0.8207547169811321,0.6282308096182772,0.8942684229263084,0.835186857064041,42,16,11,90
71008,auc100,0.7407407407407407,0.7272727272727273,0.7547169811320755,0.8584905660377359,0.8066037735849056,0.6077155435054972,0.8867924528301887,0.821314170751245,40,15,13,91
71008,mi125,0.6923076923076923,0.7058823529411765,0.6792452830188679,0.8584905660377359,0.7688679245283019,0.543078852951278,0.8704165183339267,0.783621905649394,36,15,17,91
71008,avg3,0.7522935779816514,0.7321428571428571,0.7735849056603774,0.8584905660377359,0.8160377358490567,0.6238025977812317,0.8930224279102883,0.8219389469163466,41,15,12,91
71009,f125,0.7521367521367521,0.6875,0.8301886792452831,0.8113207547169812,0.8207547169811321,0.6166548125935098,0.8985404058383767,0.8333865690658521,44,20,9,86
71009,auc100,0.7304347826086957,0.6774193548387096,0.7924528301886793,0.8113207547169812,0.8018867924528302,0.5835569748817642,0.8967604129583481,0.8167099408107868,42,20,11,86
71009,mi125,0.7207207207207207,0.6896551724137931,0.7547169811320755,0.8301886792452831,0.7924528301886793,0.5727986793578409,0.8798504805980776,0.8056495799920909,40,18,13,88
71009,avg3,0.7413793103448276,0.6825396825396826,0.8113207547169812,0.8113207547169812,0.8113207547169812,0.600099198148979,0.9006763972944108,0.8271115573669175,43,20,10,86
71010,f125,0.7678571428571429,0.7288135593220338,0.8113207547169812,0.8490566037735849,0.8301886792452831,0.6444022325288263,0.881808472766109,0.8198238605773602,43,16,10,90
71010,auc100,0.7037037037037037,0.6909090909090909,0.7169811320754716,0.839622641509434,0.7783018867924528,0.5516187241049898,0.8686365254538982,0.7948252593492394,38,17,15,89
71010,mi125,0.6857142857142857,0.6923076923076923,0.6792452830188679,0.8490566037735849,0.7641509433962264,0.5308593470003402,0.8574225703097188,0.7981859119628427,36,16,17,90
71010,avg3,0.7238095238095238,0.7307692307692307,0.7169811320754716,0.8679245283018868,0.7924528301886793,0.5877371341789481,0.8739765040939835,0.808680494153232,38,14,15,92
71011,f125,0.7169811320754716,0.7169811320754716,0.7169811320754716,0.8584905660377359,0.7877358490566038,0.5754716981132075,0.8768244927020292,0.7875965159076966,38,15,15,91
71011,auc100,0.7766990291262136,0.8,0.7547169811320755,0.9056603773584906,0.8301886792452831,0.6704783996548059,0.8848344606621573,0.8007583396906843,40,10,13,96
71011,mi125,0.7706422018348624,0.75,0.7924528301886793,0.8679245283018868,0.8301886792452831,0.6517340573833763,0.8741545033819864,0.7987730198617203,42,14,11,92
71011,avg3,0.7572815533980582,0.78,0.7358490566037735,0.8962264150943396,0.8160377358490566,0.6417436110981714,0.8844784620861517,0.8048641740434921,39,11,14,95
71012,f125,0.7927927927927928,0.7586206896551724,0.8301886792452831,0.8679245283018868,0.8490566037735849,0.6836629398787134,0.9159843360626556,0.8665374903985217,44,14,9,92
71012,auc100,0.7610619469026548,0.7166666666666667,0.8113207547169812,0.839622641509434,0.8254716981132075,0.6330541649476573,0.9070843716625134,0.8474568484674392,43,17,10,89
71012,mi125,0.7652173913043478,0.7096774193548387,0.8301886792452831,0.8301886792452831,0.8301886792452831,0.6382654412769296,0.89124243503026,0.829970946940987,44,18,9,88
71012,avg3,0.7567567567567568,0.7241379310344828,0.7924528301886793,0.8490566037735849,0.8207547169811321,0.6282308096182772,0.9113563545745816,0.8579371528518428,42,16,11,90
71013,f125,0.7142857142857143,0.6779661016949152,0.7547169811320755,0.8207547169811321,0.7877358490566038,0.5615505169179772,0.8814524741901032,0.8020107851991456,40,19,13,87
71013,auc100,0.75,0.711864406779661,0.7924528301886793,0.839622641509434,0.8160377358490567,0.6167849939918766,0.8784264862940548,0.7901403643584483,42,17,11,89
71013,mi125,0.7387387387387387,0.7068965517241379,0.7735849056603774,0.839622641509434,0.8066037735849056,0.6005147444880591,0.8924884300462799,0.8011182414717843,41,17,12,89
71013,avg3,0.7339449541284404,0.7142857142857143,0.7547169811320755,0.8490566037735849,0.8018867924528302,0.595871138179087,0.8901744393022428,0.8082391699218184,40,16,13,90
71014,f125,0.7927927927927928,0.7586206896551724,0.8301886792452831,0.8679245283018868,0.8490566037735849,0.6836629398787134,0.9271982912068352,0.8699660961262698,44,14,9,92
71014,auc100,0.7889908256880734,0.7678571428571429,0.8113207547169812,0.8773584905660378,0.8443396226415094,0.679665516985521,0.9200783196867212,0.8567104705169141,43,13,10,93
71014,mi125,0.8035714285714286,0.7627118644067796,0.8490566037735849,0.8679245283018868,0.8584905660377359,0.6996367096027257,0.9220363118547524,0.8643464426893613,45,14,8,92
71014,avg3,0.7889908256880734,0.7678571428571429,0.8113207547169812,0.8773584905660378,0.8443396226415094,0.679665516985521,0.9296902812388748,0.8742058669588338,43,13,10,93
71015,f125,0.8214285714285714,0.7796610169491526,0.8679245283018868,0.8773584905660378,0.8726415094339623,0.7272539481396755,0.9245283018867924,0.8625766435773166,46,13,7,93
71015,auc100,0.7924528301886793,0.7924528301886793,0.7924528301886793,0.8962264150943396,0.8443396226415094,0.6886792452830188,0.913314346742613,0.847742112720478,42,11,11,95
71015,mi125,0.7889908256880734,0.7678571428571429,0.8113207547169812,0.8773584905660378,0.8443396226415094,0.679665516985521,0.907262370950516,0.8359778697563063,43,13,10,93
71015,avg3,0.8256880733944955,0.8035714285714286,0.8490566037735849,0.8962264150943396,0.8726415094339623,0.7355284361898105,0.9266642933428266,0.8649510084304588,45,11,8,95
71016,f125,0.6923076923076923,0.7058823529411765,0.6792452830188679,0.8584905660377359,0.7688679245283019,0.543078852951278,0.8638305446778213,0.7792280156900357,36,15,17,91
71016,auc100,0.75,0.7647058823529411,0.7358490566037735,0.8867924528301887,0.8113207547169812,0.6288281455225324,0.8802064791740833,0.7973567068538256,39,12,14,94
71016,mi125,0.6796116504854369,0.7,0.660377358490566,0.8584905660377359,0.7594339622641509,0.5268044568716332,0.8467426130295478,0.7655648149079972,35,15,18,91
71016,avg3,0.7307692307692307,0.7450980392156863,0.7169811320754716,0.8773584905660378,0.7971698113207547,0.600245047998781,0.8721965112139551,0.7918228571688446,38,13,15,93
