seed,method,f1,roc_auc,pr_auc
107001,known_diverse,0.8148148148148148,0.9222143111427555,0.8650180279471222
107001,combined_diverse,0.8,0.9024563901744393,0.844249460657931
107001,appended_diverse,0.8181818181818182,0.9127803488786045,0.8599428831564151
107001,unknown_diverse,0.631578947368421,0.7924528301886793,0.709040519776737
107001,known_unknown_w05,0.822429906542056,0.9229263082947669,0.8665342540331652
107001,known_unknown_w10,0.8301886792452831,0.9248843004627981,0.8692340388836703
107001,known_unknown_w20,0.8301886792452831,0.9234603061587754,0.869734845540315
107001,known_unknown_w30,0.8235294117647058,0.921680313278747,0.8663823249702742
107002,known_diverse,0.7962962962962963,0.872374510501958,0.8094803753267452
107002,combined_diverse,0.6972477064220184,0.8538625845496618,0.7913493638191549
107002,appended_diverse,0.7027027027027027,0.8643645425418299,0.8115204232489511
107002,unknown_diverse,0.5714285714285714,0.7274830900676397,0.6462054196735145
107002,known_unknown_w05,0.7777777777777778,0.8727305090779637,0.8144995248623426
107002,known_unknown_w10,0.7522935779816514,0.8716625133499466,0.8177351826512612
107002,known_unknown_w20,0.7663551401869159,0.8702385190459239,0.817764033515903
107002,known_unknown_w30,0.7663551401869159,0.8640085439658242,0.8070695824488148
107003,known_diverse,0.7636363636363637,0.9015663937344252,0.8423733850325807
107003,combined_diverse,0.7407407407407407,0.8741545033819865,0.814939991048189
107003,appended_diverse,0.7339449541284404,0.8821644713421146,0.8340546327613784
107003,unknown_diverse,0.6355140186915887,0.7659309362762549,0.6802590500350516
107003,known_unknown_w05,0.7636363636363637,0.9040583837664649,0.8435418875140283
107003,known_unknown_w10,0.7706422018348624,0.9054823780704877,0.8436960628876754
107003,known_unknown_w20,0.7735849056603774,0.9092203631185475,0.845521976603804
107003,known_unknown_w30,0.7735849056603774,0.9097543609825561,0.8418896305255485
107004,known_diverse,0.7457627118644068,0.8999644001423994,0.8338022695846785
107004,combined_diverse,0.7241379310344828,0.8657885368458527,0.7913014895778496
107004,appended_diverse,0.6896551724137931,0.8819864720541118,0.8132540272952423
107004,unknown_diverse,0.6140350877192983,0.7855108579565682,0.6838764598936327
107004,known_unknown_w05,0.7563025210084033,0.9012103951584194,0.8337467198589881
107004,known_unknown_w10,0.7627118644067796,0.904058383766465,0.8376923577282266
107004,known_unknown_w20,0.7563025210084033,0.9053043787824849,0.8398693801014679
107004,known_unknown_w30,0.7627118644067796,0.9042363830544677,0.837604620783481
107005,known_diverse,0.7692307692307693,0.8997864008543965,0.836953983171837
107005,combined_diverse,0.7567567567567568,0.8873264506941972,0.8301977395618917
107005,appended_diverse,0.7543859649122807,0.88875044499822,0.826971157384393
107005,unknown_diverse,0.6557377049180327,0.7844428622285511,0.6764100428566835
107005,known_unknown_w05,0.782608695652174,0.9003203987184051,0.837536820728232
107005,known_unknown_w10,0.7652173913043478,0.9008543965824136,0.8372866012881464
107005,known_unknown_w20,0.782608695652174,0.901566393734425,0.8367660704610232
107005,known_unknown_w30,0.7719298245614035,0.8994304022783909,0.8330049951066257
107006,known_diverse,0.8073394495412844,0.9095763616945532,0.8356272529773953
107006,combined_diverse,0.7522935779816514,0.8951584193663226,0.8189720573653115
107006,appended_diverse,0.75,0.8910644357422571,0.8228423437105178
107006,unknown_diverse,0.6724137931034483,0.8029547881808473,0.6876737744527028
107006,known_unknown_w05,0.8073394495412844,0.9104663581345674,0.837337430760448
107006,known_unknown_w10,0.8073394495412844,0.9110003559985761,0.83706716897833
107006,known_unknown_w20,0.8,0.9088643645425418,0.8316781421386188
107006,known_unknown_w30,0.8,0.9072623709505162,0.8327548822795675
