candidate,family,baseline,n,mean_delta_f1,median_delta_f1,ci95_low,ci95_high,wins,ties,losses,wilcoxon_statistic,wilcoxon_p
combined_diverse,direct,known_diverse,12,-0.034266370316288125,-0.03757821773876824,-0.04716887492796036,-0.020954743579227122,1,0,11,2.0,0.00146484375
appended_all_diverse,direct,known_diverse,12,-0.0016459768968075568,-0.0022727272727272596,-0.01671158397908661,0.013903915211266419,5,1,6,32.5,0.9833984375
unknown_all_diverse,direct,known_diverse,12,-0.1478909733845897,-0.15095928725224322,-0.16821277642547552,-0.12684372422535808,0,0,12,0.0,0.00048828125
appended_stable_k25,stable_append,known_diverse,12,-0.005366650211886888,-0.0015601041916831204,-0.02285073374329717,0.01235510803989604,6,0,6,33.0,0.67724609375
appended_stable_k50,stable_append,known_diverse,12,0.0018886058375791788,0.003548204132316324,-0.015916347550382667,0.019234242352871845,7,0,5,33.0,0.67724609375
appended_stable_k100,stable_append,known_diverse,12,-0.01703047181910607,-0.013579426656926186,-0.02813521367789757,-0.0064132647948435964,3,0,9,9.0,0.015625
appended_stable_k150,stable_append,known_diverse,12,-0.009400380524844218,-0.012241517402067803,-0.022814417631578262,0.003243783950277644,5,0,7,23.0,0.2333984375
known_unknown_stable_k25_w05,stable_fusion,known_diverse,12,0.0010017382013270775,0.0,-0.0031705362889213294,0.005891183008328081,4,3,5,21.0,0.91015625
known_unknown_stable_k25_w10,stable_fusion,known_diverse,12,-0.0008841301340641872,0.0,-0.010209608877279586,0.008223361329104978,5,2,5,27.0,0.9765625
known_unknown_stable_k25_w20,stable_fusion,known_diverse,12,-0.017908910513043292,-0.02229225023342668,-0.03163022580285636,-0.003866977177691505,4,0,8,12.0,0.0341796875
known_unknown_stable_k50_w05,stable_fusion,known_diverse,12,0.002342429521892601,0.0031446540880503138,-0.006573216527147567,0.011104867425859899,6,1,5,29.0,0.7646484375
known_unknown_stable_k50_w10,stable_fusion,known_diverse,12,0.006281089721818668,0.001146788990825709,-0.002562582971238966,0.01593973203081255,6,3,3,14.0,0.359375
known_unknown_stable_k50_w20,stable_fusion,known_diverse,12,0.005080373770684922,0.0036630036630037055,-0.006211907000715139,0.016821939327858804,6,2,4,20.0,0.4921875
known_unknown_stable_k100_w05,stable_fusion,known_diverse,12,0.001701529627152328,0.0,-0.003570900028368973,0.007083956859490646,5,3,4,19.0,0.734375
known_unknown_stable_k100_w10,stable_fusion,known_diverse,12,0.0066232349334532275,0.010012785956182269,-0.0011169388496162968,0.013983730826544291,8,1,3,17.0,0.1748046875
known_unknown_stable_k100_w20,stable_fusion,known_diverse,12,0.003664059588435927,0.004414004998117227,-0.0017902294811256922,0.008796355829690171,7,2,3,14.0,0.193359375
known_unknown_stable_k150_w05,stable_fusion,known_diverse,12,0.0023195522920487024,0.0,-0.005014123275571825,0.008799482275845207,5,5,2,9.0,0.4375
known_unknown_stable_k150_w10,stable_fusion,known_diverse,12,0.009235083928085216,0.009964665029909336,0.0006553147142480208,0.018073658675902902,7,1,4,13.0,0.0810546875
known_unknown_stable_k150_w20,stable_fusion,known_diverse,12,0.007520137553545636,0.004290254874367072,-0.002244736830995192,0.017400171594257354,7,1,4,18.0,0.2060546875
known_unknown_all_w05,all_fusion,known_diverse,12,0.0034968713219377854,0.004176676080345776,-0.001596739106961048,0.008580860020843857,7,3,2,13.0,0.30078125
known_unknown_all_w10,all_fusion,known_diverse,12,0.0034122247664742553,0.0056055400092097085,-0.004197166328635996,0.01046372068353979,7,2,3,19.0,0.416015625
known_unknown_all_w20,all_fusion,known_diverse,12,0.008207684344548808,0.007354471381979755,-0.0019169580130931217,0.018750749242568497,7,0,5,22.0,0.20361328125
