method,family,n_seeds,f1_mean,f1_std,f1_min,f1_max,roc_auc_mean,pr_auc_mean
known_unknown_stable_k150_w10,stable_fusion,12,0.7610808175968157,0.03790523902648527,0.6730769230769231,0.8108108108108109,0.8914797674142637,0.8190808624510574
known_unknown_all_w20,all_fusion,12,0.7600534180132792,0.038629893506089585,0.6666666666666666,0.8108108108108109,0.8896701079862348,0.8151451932966981
known_unknown_stable_k150_w20,stable_fusion,12,0.7593658712222761,0.03181843193489902,0.6923076923076923,0.8037383177570093,0.8899222736442387,0.8173842547154244
known_unknown_stable_k100_w10,stable_fusion,12,0.7584689686021836,0.03721027815333582,0.6730769230769231,0.8108108108108109,0.8907974368102528,0.817083997214067
known_unknown_stable_k50_w10,stable_fusion,12,0.758126823390549,0.03863482031384587,0.6666666666666666,0.8214285714285714,0.8885576124362169,0.813975655094647
known_unknown_stable_k50_w20,stable_fusion,12,0.7569261074394155,0.03501814655292635,0.6792452830188679,0.8108108108108109,0.8815859736561054,0.805252419842092
known_unknown_stable_k100_w20,stable_fusion,12,0.7555097932571663,0.033513401838077245,0.6730769230769231,0.8035714285714286,0.8880681143942092,0.8144491579177869
known_unknown_all_w05,all_fusion,12,0.7553426049906683,0.036473151545444164,0.660377358490566,0.8035714285714286,0.8918505992642696,0.8171302050261464
known_unknown_all_w10,all_fusion,12,0.7552579584352047,0.03685395064034899,0.660377358490566,0.8035714285714286,0.8919247656342707,0.8176698193918376
known_unknown_stable_k50_w05,stable_fusion,12,0.754188163190623,0.03840152155068616,0.6666666666666666,0.8141592920353983,0.8907232704402516,0.816711673688714
known_unknown_stable_k150_w05,stable_fusion,12,0.7541652859607791,0.03919013684495322,0.660377358490566,0.8035714285714286,0.892058265100273,0.8181577119546647
appended_stable_k50,stable_append,12,0.7537343395063095,0.04392741693270876,0.6782608695652174,0.8181818181818182,0.8813486412721016,0.8156668468150552
known_unknown_stable_k100_w05,stable_fusion,12,0.7535472632958827,0.03637985232601413,0.660377358490566,0.8035714285714286,0.8918357659902694,0.8176439639903973
known_unknown_stable_k25_w05,stable_fusion,12,0.7528474718700576,0.035213502338700416,0.6542056074766355,0.7927927927927928,0.8895959416162335,0.8144230732316161
known_diverse,baseline,12,0.7518457336687305,0.03316694519963966,0.660377358490566,0.7857142857142857,0.8911386021122581,0.8161457405368062
known_unknown_stable_k25_w10,stable_fusion,12,0.7509616035346663,0.03807362076135249,0.660377358490566,0.7927927927927928,0.8863622878841818,0.8112584004780925
appended_all_diverse,direct,12,0.7501997567719229,0.043131888699538205,0.6470588235294118,0.8073394495412844,0.8728195087219651,0.8110962770053883
appended_stable_k25,stable_append,12,0.7464790834568436,0.04657909846258192,0.6846846846846847,0.8108108108108109,0.8833214667141331,0.8136841800172894
appended_stable_k150,stable_append,12,0.7424453531438863,0.030704894776190116,0.6857142857142857,0.7777777777777778,0.8729233416399668,0.8111283902469636
appended_stable_k100,stable_append,12,0.7348152618496244,0.029315010361510112,0.6730769230769231,0.7663551401869159,0.8708021834579328,0.8062531290064124
known_unknown_stable_k25_w20,stable_fusion,12,0.7339368231556872,0.039186222710274436,0.6470588235294118,0.7747747747747747,0.8767799928800285,0.8002042767964075
combined_diverse,direct,12,0.7175793633524424,0.03161778183252098,0.6666666666666666,0.7747747747747747,0.8631333807998102,0.7966585145401807
unknown_all_diverse,direct,12,0.6039547602841407,0.03660495099941441,0.5333333333333333,0.6722689075630253,0.7674735967722796,0.6617613175464988
